Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
163,Work of Breathing During Non-invasive Ventilation in Premature Neonates,Completed,No Results Available,Other: Noninvasive neurally adjusted ventilatory assist (NIV NAVA)|Other: Nasal intermittent positive pressure ventilation (NIPPV),"Phase angle (θ)|Tidal volume (arbitrary units, AU)|Minute ventilation (AU/min)|Respiratory rate (breaths/min)|Transcutaneous oxygen (mmHg)|Transcutaneous carbon dioxide (mmHg)|Oxygen saturation (%)|Peak inspiratory pressure (cmH2O)|Positive end expiratory pressure (cmH2O)|Trigger delay (ms)|Asynchrony index (%)",up to 12 Months   (Child),Not Applicable,15,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-Jun,"Arkansas Children's Hospital, Little Rock, Arkansas, United States",https://ClinicalTrials.gov/show/NCT02788110,,34.74084135,-92.29159166,"Arkansas Children's Hospital, Little Rock",Arkansas Children's Hospital,"David N Matlock, MD",Pulaski,8,0.432534222,1,Arkansas,209,83.8004656
164,"Mechanical Ventilation, Directed by Esophageal Pressure Measurements, in Patients With Acute Lung Injury",Completed,No Results Available,Procedure: Placement of an esophageal balloon measurements|Other: Low tidal volume ventilation|Other: Transpulmonary pressure-directed ventilation (EPVent),Oxygenation as measured by the PO2/FiO2 (P/F) ratio|Ventilator free days|Markers of inflammation|Mortality|Length of stay,"18 Years and older   (Adult, Older Adult)",Not Applicable,63,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,10-May,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00127491,,42.33837185,-71.10970568,"Beth Israel Deaconess Medical Center, Boston",Beth Israel Deaconess Medical Center,"Daniel S Talmor, MD, MPH",Suffolk,281,0.317766372,4,Massachusetts,447,48.32005745
165,IRAK4 Inhibition in Treatment of COVID-19 With ARDS (I-RAMIC),Terminated,No Results Available,Drug: PF-06650833|Drug: Placebo,All-cause mortality at Day 29|Disease Severity (8 point scale)|Mortality|P/F ratio|Change of the SOFA score.|Duration (days) of mechanical ventilation|Ventilator free days.|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,7,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",6-Oct-21,"Yale New Haven Hospital, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT04575610,,41.3046035,-72.9355941,"Yale New Haven Hospital, New Haven",Yale New Haven Hospital,"Hyung Chun, MD",South Central Connecticut Planning Region,,,0,Connecticut,,
166,Timing and Intensity of the Exposures and Attributable Burden of Acute Lung Injury,Completed,No Results Available,,Development of ALI|Quality adjusted survival,"18 Years and older   (Adult, Older Adult)",,6600,Observational,Observational Model: Cohort|Time Perspective: Prospective,20-Dec,"Mayo Clinic, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT00980915,,44.0225389,-92.46660746,"Mayo Clinic, Rochester",Mayo Clinic,"Ognjen Gajic, M.D.",Olmsted,218,0.217462963,2,Minnesota,218,17.31132208
167,Weaning From Mechanical Ventilation Using Permissive Hypercarbia,Terminated,No Results Available,Procedure: Permissive hypercarbia,Time for weaning from positive pressure support mechanical ventilation|Percentage of subjects/group successfully weaned within seven days of trial participation,"18 Years and older   (Adult, Older Adult)",Not Applicable,3,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,14-Jun-07,"Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00357929,,40.2653862,-76.67321279,"Penn State Milton S. Hershey Medical Center, Hershey",Penn State Milton S. Hershey Medical Center,"Kane M High, MD",Dauphin,142,0.354720751,0,Pennsylvania,142,59.74448032
168,PAL to Improve Oral Feeding for Infants With Chronic Lung Disease,Recruiting,No Results Available,Device: Pacifier Activated Lullaby ®,Oral Feeding|Length of Stay|Length of Respiratory Support,1 Day to 33 Weeks   (Child),Not Applicable,60,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",31-Dec-23,"University of Missouri Healthcare, Columbia, Missouri, United States",https://ClinicalTrials.gov/show/NCT05446389,,38.9403808,-92.3277375,"University of Missouri Healthcare, Columbia",University of Missouri Healthcare,,Boone,0,0.368950589,1,Missouri,110,64.14362573
169,Macrophage Programing in Acute Lung Injury: MiniBAL,Recruiting,No Results Available,Other: Non-Bronchoscopic Mini Bronchoalveolar Lavage,Evaluate host response to ARDS|Macrophage signaling|Resident alveolar Macrophages|Recruited versus resident macrophages|Ventilator associated pneumonia (VAP),"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,56,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,30-Dec-23,"Intermountain Health - St. Joseph's Hospital - National Jewish Health, Denver, Colorado, United States",https://ClinicalTrials.gov/show/NCT05767671,,39.7390914,-104.9421121,"Intermountain Health - St. Joseph's Hospital - National Jewish Health, Denver",Intermountain Health - St. Joseph's Hospital - National Jewish Health,,,,,0,Colorado,,
170,Inhaled Nitric Oxide (iNO) as an Adjunct to Neonatal Resuscitation,Completed,Has Results,Drug: iNO|Other: Nitrogen,"Maximum Factional Inspired Oxygen Percent (FiO2)|Rate of Hyperoxia|Pre and Postductal Saturation Levels|Heart Rate During Resuscitation|Need for Intubation|Intraventricular Hemorrhage > Grade 2|Infants With Patent Ductus Arteriosus (PDA) Requiring Treatment|Retinopathy of Prematurity (ROP)> Stage 2|Mechanical Ventilation, Non-invasive Ventilation (NIV), and Length of Stay in Days (LOS)|Bronchopulmonary Dysplasia|Late Onset Sepsis",1 Minute to 2 Minutes   (Child),Not Applicable,33,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",1-May-17,"University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States",https://ClinicalTrials.gov/show/NCT01220687,,35.48428685,-97.49863299,"University of Oklahoma Health Sciences Center, Oklahoma City",University of Oklahoma Health Sciences Center,"Kris Sekar, M.D.",Oklahoma,300,0.302954793,1,Oklahoma,300,43.74106719
171,Long-Term Results in Mechanically Ventilated Individuals With Acute Lung Injury/Acute Respiratory Distress Syndrome,Completed,No Results Available,,Mortality,"18 Years and older   (Adult, Older Adult)",,520,Observational,Observational Model: Cohort|Time Perspective: Prospective,12-Oct,"University of Maryland Medical Center, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT00300248,,39.28827365,-76.62439437,"University of Maryland Medical Center, Baltimore",University of Maryland Medical Center,"Peter J. Pronovost, MD, PhD",,,,2,Maryland,123,
172,Assessing Respiratory Variability During Mechanical Ventilation in Acute Lung Injury (ALI),Withdrawn,No Results Available,,"The degree of variability in tidal volume (measured as % variation about the mean) stratified by ventilator mode.|Alternative measures of variability and complexity for each ventilator mode.|Correlations between clinical parameters such as disease severity, vital signs, sedation levels, and variability.","18 Years and older   (Adult, Older Adult)",,0,Observational,Observational Model: Case-Control|Time Perspective: Prospective,16-Mar,"Boston Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01083355,,42.33417195,-71.07464492,"Boston Medical Center, Boston",Boston Medical Center,"George O'Connor, MD",Suffolk,281,0.317766372,0,Massachusetts,447,48.32005745
174,CPAP vs.Unsynchronized NIPPV at Equal Mean Airway Pressure,Unknown status,No Results Available,Other: continuous positive airway pressure|Other: nasal intermittent positive pressure ventilation,Number of Apnea/bradycardia events|Number of of desaturation events|Mean oxygen saturation by pulse oximetry and proportion of time below 88%|Mean transcutaneous PCO2 and proportion of time >55 torr|Mean fraction of inspired oxygen|Mean respiratory rate|Mean degrees of phase lag by RIP|Number of episodes of feeding intolerance|Instances of treatment failure,up to 6 Months   (Child),Not Applicable,80,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30-Jun-22,"Women and Infants Hospital of Rhode Island, Providence, Rhode Island, United States",https://ClinicalTrials.gov/show/NCT03670732,,41.8108373,-71.4125038,"Women and Infants Hospital of Rhode Island, Providence",Women and Infants Hospital of Rhode Island,"Sunil Shaw, PhD",Providence,237,0.285023813,0,Rhode Island,237,38.19771608
175,Extending CPAP Therapy in Stable Preterm Infants to Increase Lung Growth and Function,Recruiting,No Results Available,Other: Additional 2 weeks of CPAP,Alveolar Volume|Lung Diffusion|Forced Expiratory Flows,1 Day to 12 Weeks   (Child),Phase 2|Phase 3,130,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,31-Dec-23,"Doernbecher Neonatal Care Center at Oregon Health & Science University, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT04295564,,45.4977777,-122.6859705,"Doernbecher Neonatal Care Center at Oregon Health & Science University, Portland",Doernbecher Neonatal Care Center at Oregon Health & Science University,,Multnomah,165,0.16653337,2,Oregon,165,1.566470661
176,IC14 Antibodies to Treat Individuals With Acute Lung Injury,Terminated,No Results Available,Drug: IC14,"Alveolar lavage concentrations of interleukin-8 (measured post-treatment at Days 2, 3, 6, 7, and 8)|Worst Murray Lung Injury Score|Worst Multiple Organ Dysfunction (MOD) Score (Marshall) (measured at Days 1 through 7, and Day 28)|Infections-nosocomial and/or surgical site infections|Ventilator-free days|Mortality (measured at Day 28)","18 Years to 70 Years   (Adult, Older Adult)",Phase 2,13,Interventional,Allocation: Randomized|Masking: Double|Primary Purpose: Treatment,7-Jun,"University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00233207,,47.6543466,-122.3080606,"University of Washington, Seattle",University of Washington,"Margaret Neff, MD",King,450,0.211214428,2,Washington,450,15.37959145
177,PECO Air Purification in Hospital Rooms to Improve Health Outcomes for Pediatric Respiratory Distress,Completed,No Results Available,Device: Photo Electrochemical Oxidation (PECO) for Air Purification,Length of stay|Readmission rate,1 Year to 17 Years   (Child),Not Applicable,274,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,31-Dec-18,"Mercyhealth Hospital - Rockton Avenue, Rockford, Illinois, United States",https://ClinicalTrials.gov/show/NCT03647397,,42.2983049,-89.09870329,"Mercyhealth Hospital - Rockton Avenue, Rockford",Mercyhealth Hospital - Rockton Avenue,Nikhil Rao,Winnebago,26,0.33495662,1,Illinois,87,53.63441174
178,"Antenatal Betamethasone Compared to Dexamethasone - ""BETACODE TRIAL""",Completed,No Results Available,Drug: Betamethasone(Celestone soluspan) and Dexamethasone,Respiratory distress syndrome|Intraventricular hemorrhage|Neonatal mortality|Periventricular leukomalacia|Necrotizing enterocolitis|Neonatal sepsis,18 Years to 45 Years   (Adult),Not Applicable,,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,5-Apr,"Stony Brook University Hospital, Stony Brook, New York, United States",https://ClinicalTrials.gov/show/NCT00418353,,40.90826935,-73.1151875,"Stony Brook University Hospital, Stony Brook",Stony Brook University Hospital,"Andrew A Elimian, M.D",Suffolk,281,0.317766372,1,New York,281,48.32005745
179,Evaluate the Safety of agenT-797 in Participants With Moderate to Severe Difficulty Breathing Secondary to SARS-CoV-2,Completed,No Results Available,Drug: agenT-797,Number Of Participants With Treatment-emergent Adverse Events|Number Of Participants With Dose-limiting Toxicities|Time To Extubation|Mean Daily Sequential Organ Failure Assessment Score|Change From Baseline In C-reactive Protein|Decay In Quantitative Viral Burden From Upper And Lower Respiratory Tract Samples|Time From Dosing To Viral Clearance|Number Of Participants Experiencing Viral Reactivation And Fungal Infections,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,20,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2-Jun-22,"Saint John's Cancer Institute, Santa Monica, California, United States",https://ClinicalTrials.gov/show/NCT04582201,,18.3395934,-64.9143798,"Saint John's Cancer Institute, Santa Monica",Saint John's Cancer Institute,Medical Director,Saint Thomas - Saint John District,,,1,United States Virgin Islands,,
180,Feasibility and Impact of Volume Targeted Ventilation in the Delivery Room,Recruiting,No Results Available,Device: Volume Targeted Ventilation (VTV) using the Philips Respironics NM3 monitor|Device: Tidal Volume Measurement using the Philips Respironics NM3 monitor,Timing of initiation of mechanical ventilation,5 Minutes to 60 Minutes   (Child),Not Applicable,40,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",31-Dec-23,"Baystate Medical Center, Springfield, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03938532,,42.12152205,-72.60300615,"Baystate Medical Center, Springfield",Baystate Medical Center,"Ruben Vaidya, MD",Hampden,119,0.34748054,0,Massachusetts,119,57.50617367
181,Oscillatory Versus Non-Oscillatory Nasal Continuous Airway Pressure Neonatal Respiratory Support,Withdrawn,No Results Available,Device: Nasal CPAP|Device: Oscillatory NCPAP,Physiologic respiratory stability of Oscillating versus Non-Oscillating NCPAP|Need for mechanical ventilation following the initiation of NCPAP.|Total duration of non-invasive and invasive respiratory support in each study group.|total amount of oxygen exposure in each study group. Total amount of oxygen exposure in each study group.,up to 28 Days   (Child),Not Applicable,0,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17-Apr,"Valley Children's Healthcare, Madera, California, United States",https://ClinicalTrials.gov/show/NCT01277874,,36.8840366,-119.8003218,"Valley Children's Healthcare, Madera",Valley Children's Healthcare,"Donald Null, MD",Madera,10,0.198127805,0,California,10,11.33387023
